Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
5342acd1-ef44-47ec-b52a-36afc940014b,"2020-05-15, 04:21:48 PM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
28fecbb2-ec3f-4cbb-b14f-52727e85c441,"2020-05-15, 04:21:34 PM",Accountant,ConsoleLogin,,,,us-east-1,,47.152.132.148
2c4c2219-1aa3-4ab0-b22a-049192729305,"2020-05-15, 04:11:43 PM",CloudTrail,UpdateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:680046601166:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloud-trailing""}]",,us-east-1,,47.152.132.148
b5f76f1a-357e-442f-8c86-b93217a5a8dc,"2020-05-15, 04:11:42 PM",CloudTrail,PutInsightSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:680046601166:trail/Udacity_Trail""}]",,us-east-1,,47.152.132.148
cfcf160d-b40d-4656-a483-5bd9b441a640,"2020-05-15, 04:11:42 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:680046601166:trail/Udacity_Trail""}]",,us-east-1,,47.152.132.148
30b919f4-e16f-4c08-9527-a94b460bceda,"2020-05-15, 04:11:08 PM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,47.152.132.148
b16f3661-b71d-444c-b48f-388262fb69a1,"2020-05-15, 04:11:07 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:680046601166:trail/Udacity_Trail""}]",,us-east-1,,47.152.132.148
c6091dd6-eeb9-4804-b74b-a289bdeaad75,"2020-05-15, 04:11:07 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloud-trailing""}]",,us-east-1,,47.152.132.148
c8fee1cb-7176-4761-b8eb-d6cf6c5729b9,"2020-05-15, 04:11:07 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloud-trailing""}]",,us-east-1,,47.152.132.148
f36dd251-68c3-4e8d-bac6-708f3d5dac2e,"2020-05-15, 04:11:07 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:680046601166:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloud-trailing""}]",,us-east-1,,47.152.132.148
ca0d81bf-66c9-4da1-ac3d-ad0118d19b30,"2020-05-15, 04:09:09 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
